index,prompt_raw,target_text,length,level
00000,"A high-fashion runway with a sleek, modern backdrop displaying ""Spring Collection 2024"". Models walk confidently on the catwalk, showcasing vibrant, floral prints and pastel tones, under soft, ambient lighting that enhances the fresh, spring vibe.",Spring Collection 2024,20,Hard
00001,"A close-up of a sleek smartwatch on a wrist, the screen displaying ""Step Goal Achieved"" with a celebratory animation, set against a blurred cityscape at dusk, capturing the moment of accomplishment.",Step Goal Achieved,16,Hard
00002,"A close-up photograph of an engraved silver ring with the inscription ""Forever Yours"" delicately etched into its surface, set against a soft, blurred background of romantic, warm tones.",Forever Yours,12,Hard
00003,"A realistic photograph of a fast food drive-thru menu board at dusk, featuring a bold and colorful advertisement that reads ""Try Our New Burger"" with an appetizing image of the burger below, set against the backdrop of a busy suburban street.",Try Our New Burger,15,Hard
00004,"A weathered cave explorer's journal page, with the phrase ""Lost City Near"" prominently written in faded ink, surrounded by sketches of ancient ruins and cryptic symbols, under a dim, mystical light.",Lost City Near,12,Hard
00005,"A bustling city street at night, illuminated by neon lights, featuring a retro-futuristic robot comedy club with a vibrant marquee that reads ""Tonight Binary StandUp"". Robots in casual attire gather outside, laughing and chatting, creating a lively atmosphere.",Tonight Binary StandUp,20,Hard
00006,"A realistic photograph of a wrist tattoo in cursive script reading ""Fearless"", with the skin slightly tanned and a subtle shadow under the text, set against a neutral background.",Fearless,8,Medium
00007,"A serene cemetery under a soft, overcast sky, with a weathered gravestone prominently featuring the epitaph ""Loved And Remembered"". Tall grass sways gently in the breeze, and a single wilting flower rests at the base of the stone.",Loved And Remembered,18,Hard
00008,"A futuristic urban street at night, a cyborg shop sign glowing ""Upgrades Available"" in neon blue, reflecting off wet pavements, with cybernetic pedestrians and sleek, futuristic buildings in the background.",Upgrades Available,17,Hard
00009,"A realistic photograph of a modern highway scene with a large billboard prominently displaying the text ""Gas Next Exit 2 Miles"" against a backdrop of rolling hills and clear blue sky.",Gas Next Exit 2 Miles,17,Hard
00010,"A high-altitude mountain summit with a wooden signpost clearly marked ""Elevation 8000 Feet"", surrounded by rocky terrain and a backdrop of distant, snow-capped peaks under a clear blue sky.",Elevation 8000 Feet,17,Hard
00011,"A hiking trail with a wooden signpost clearly displaying ""Private Property No Entry"", surrounded by dense, green foliage and a winding dirt path leading into the forest.",Private Property No Entry,22,Hard
00012,"A realistic photo of a tech campus courtyard at night, featuring a glowing ""AI Training Zone"" hologram floating in the center, surrounded by futuristic buildings and greenery, with soft ambient lighting enhancing the futuristic atmosphere.",AI Training Zone,14,Hard
00013,"A dark, decrepit haunted house with a menacing door knocker that reads ""Abandon All Hope"" in eerie, gothic lettering, set against a moonlit night with twisted, shadowy trees in the background.",Abandon All Hope,14,Hard
00014,"A detailed ski resort trail map with a prominent marker labeled ""Black Diamond Run"", set against a snowy backdrop with pine trees and skiers in the distance, capturing the thrill and challenge of the advanced slope.",Black Diamond Run,15,Hard
00015,"A medieval knight's castle with a grand drawbridge, the wooden sign above it boldly declaring ""Trespassers Will Be Jousted"", surrounded by a moat with water lilies and a cloudy sky.",Trespassers Will Be Jousted,24,Hard
00016,"A vintage postcard with a faded, nostalgic look, featuring elegant cursive text that reads ""Wish You Were Here"" against a backdrop of a serene, old-world seaside town with pastel buildings and a gentle, sunny sky.",Wish You Were Here,15,Hard
00017,"A vibrant urban alley with a graffiti wall prominently spray-painted ""Street Art Rules"", surrounded by colorful tags and murals, under a sunny sky.",Street Art Rules,14,Hard
00018,"A beautifully crafted birthday cake topper shaped like ""30 Years Young"", adorned with sparkly frosting and shimmering decorations, set against a backdrop of a cozy, candlelit birthday party.",30 Years Young,12,Hard
00019,"A vast, sun-baked desert landscape with a lone highway stretching into the distance. A weathered road sign stands by the side, warning ""Next Gas 100 Miles"", under a blazing sky.",Next Gas 100 Miles,15,Hard
00020,"A weathered pirate ship flag, tattered and fluttering in the sea breeze, is intricately embroidered with the bold words ""Sea Wolf Crew"" in deep navy thread, against a backdrop of stormy skies and turbulent waves.",Sea Wolf Crew,11,Hard
00021,"A jewelry store window featuring a sleek, modern decal announcing ""Diamond Sale"" in elegant, bold letters. The window showcases a variety of sparkling diamond pieces, with soft lighting enhancing the shine and allure of the gems.",Diamond Sale,11,Hard
00022,"A realistic classroom scene with a detailed periodic table poster prominently displaying ""Fe Iron Atomic 26"", surrounded by other elements, with students' desks and a chalkboard in the background.",Fe Iron Atomic 26,14,Hard
00023,"A mermaid, with shimmering scales and flowing sea-green hair, holds an ancient map marked with ""X Marks the Spot"" above a coral reef, surrounded by vibrant tropical fish and sunlight filtering through the ocean's surface.",X Marks the Spot,13,Hard
00024,"A bustling city street features a bicycle rental kiosk with a prominent sign that reads ""Rent A Bike Here"", surrounded by a variety of colorful bikes and happy cyclists. The scene is vibrant and lively, capturing the essence of urban cycling culture.",Rent A Bike Here,13,Hard
00025,"A cozy café interior with a rustic wooden table, a steaming cup of coffee, and a small white card that reads ""PasswordIsCoffee123"" prominently displayed next to the coffee. Soft, warm lighting enhances the inviting atmosphere.",PasswordIsCoffee123,19,Hard
